,value
0,
1,
2,
3,
4,
5,
6,
7,3.5249999999999995
8,3.4874999999999994
9,3.2374999999999994
10,3.0999999999999996
11,3.3624999999999994
12,3.612499999999999
13,4.374999999999999
14,5.137499999999999
15,5.6625
16,6.375
17,7.1625000000000005
18,9.275000000000002
19,10.387500000000001
20,10.925
21,10.537500000000001
22,10.025000000000002
23,9.587500000000002
24,8.725000000000003
25,7.762500000000004
26,5.650000000000004
27,4.237500000000004
28,3.2750000000000044
29,2.7500000000000044
30,2.600000000000004
31,2.537500000000004
32,2.7125000000000044
33,2.8125000000000044
34,2.7500000000000044
35,2.7375000000000043
36,3.125000000000004
37,4.2500000000000036
38,5.275000000000003
39,6.712500000000003
40,8.050000000000004
41,9.475000000000003
42,11.062500000000004
43,12.287500000000003
44,12.925000000000002
45,12.212500000000002
46,11.225000000000001
47,9.925000000000002
48,8.625000000000004
49,7.525000000000003
50,6.0500000000000025
51,4.875000000000002
52,3.850000000000002
53,3.4875000000000016
54,3.3375000000000017
55,3.262500000000002
56,3.187500000000002
57,2.925000000000002
58,2.825000000000002
59,2.787500000000002
60,3.1875000000000018
61,3.7875000000000014
62,4.387500000000002
63,5.362500000000002
64,6.350000000000001
65,7.262500000000001
66,8.4
67,9.65
68,10.05
69,9.5875
70,9.012500000000001
71,8.05
72,7.137500000000001
73,6.075000000000001
74,4.912500000000001
75,3.6000000000000014
76,2.7625000000000015
77,2.5750000000000015
78,2.2625000000000015
79,2.0875000000000017
80,2.100000000000002
81,2.387500000000002
82,2.387500000000002
83,2.2500000000000018
84,2.4000000000000017
85,3.037500000000002
86,4.637500000000002
87,5.750000000000002
88,6.800000000000002
89,7.275000000000002
90,8.287500000000001
91,10.0875
92,11.125
93,10.85
94,9.9625
95,9.1125
96,8.0875
97,7.5874999999999995
98,6.7749999999999995
99,5.112499999999999
100,3.974999999999999
101,3.7124999999999995
102,3.2124999999999995
103,2.9749999999999996
104,2.8625
105,2.6624999999999996
106,2.4749999999999996
107,2.5999999999999996
108,3.0999999999999996
109,3.7624999999999993
110,4.862499999999999
111,5.862499999999999
112,7.775
113,9.5125
114,11.3125
115,12.85
116,13.6
117,13.3
118,12.775
119,11.9375
120,9.9375
121,8.274999999999999
122,6.624999999999998
123,5.049999999999999
124,3.9374999999999987
125,3.5749999999999984
126,3.149999999999998
127,3.0624999999999982
128,3.337499999999998
129,3.262499999999998
130,3.099999999999998
131,3.099999999999998
132,3.162499999999998
133,3.4624999999999977
134,4.312499999999997
135,5.774999999999998
136,6.074999999999998
137,7.424999999999999
138,9.112499999999999
139,10.237499999999999
140,10.5625
141,10.9125
142,10.25
143,8.825000000000001
144,8.425
145,7.162500000000001
146,5.500000000000002
147,4.275000000000002
148,3.8750000000000027
149,3.1625000000000028
150,2.962500000000003
151,2.875000000000003
152,2.787500000000003
153,2.750000000000003
